artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
,Soaking music,,,Worthy of Life,Worthy of Life,https://www.last.fm/music/Soaking+music/_/Worthy+of+Life,"28 Mar 2024, 23:54"
,azat gimadeev,,,Give Me Spring,Whenever,https://www.last.fm/music/azat+gimadeev/_/Whenever,"28 Mar 2024, 23:46"
,Parijat,8f3a4da4-d7a8-498b-b050-7449492d74ef,81024cb5-c2b6-408e-8b2d-40249f856c47,Reiki Healing Waves,Healing Senses,https://www.last.fm/music/Parijat/_/Healing+Senses,"28 Mar 2024, 23:37"
,RW Время расслабиться и поспать,,,"Музыка для друзей – Pасслабляющие звуки для домашних животных, собак, кошек, успокаивающие мелодии для животных, преодоление стресса, успокаивающие песни",Спокойный музыкальный фон,https://www.last.fm/music/RW+%D0%92%D1%80%D0%B5%D0%BC%D1%8F+%D1%80%D0%B0%D1%81%D1%81%D0%BB%D0%B0%D0%B1%D0%B8%D1%82%D1%8C%D1%81%D1%8F+%D0%B8+%D0%BF%D0%BE%D1%81%D0%BF%D0%B0%D1%82%D1%8C/_/%D0%A1%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9%D0%BD%D1%8B%D0%B9+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%84%D0%BE%D0%BD,"28 Mar 2024, 23:30"
,G.Fioravanti-G.Toso,,,La Musica E Gli Esercizi Per Il Sonno Naturale,Brezza Lunare,https://www.last.fm/music/G.Fioravanti-G.Toso/_/Brezza+Lunare,"28 Mar 2024, 23:22"
,Chris Conway,,,Guiding Light,Первый проблеск,https://www.last.fm/music/Chris+Conway/_/%D0%9F%D0%B5%D1%80%D0%B2%D1%8B%D0%B9+%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D1%81%D0%BA,"28 Mar 2024, 23:13"
aae9b192-e3c5-4ce9-a6d6-6033fdd335f8,Rudy Adrian,88473148-303f-3b0a-ac13-866393d62264,57171b42-8a0a-4d49-9f7c-f5f7a873723e,Desert Realms,Of Clouds and Mountains,https://www.last.fm/music/Rudy+Adrian/_/Of+Clouds+and+Mountains,"28 Mar 2024, 23:05"
060397be-c7e8-4538-b8a3-46b5d6fe8a44,Aetherium,,,Music Therapy for Healing,Music Therapy: Base Chakra,https://www.last.fm/music/Aetherium/_/Music+Therapy:+Base+Chakra,"28 Mar 2024, 22:56"
28886078-7b37-40f3-8a54-a7a034f45780,Chris Snelling,,,Opening,Opening,https://www.last.fm/music/Chris+Snelling/_/Opening,"28 Mar 2024, 22:49"
,3oaksmusic,,,741 hz Vishuddha,741 hz Vishuddha,https://www.last.fm/music/3oaksmusic/_/741+hz+Vishuddha,"28 Mar 2024, 22:40"
,Deuter,,89a9fdfc-436e-4c08-9453-46fc842fe454,Reiki Hands of Love,Morning Light Silhouettes 1,https://www.last.fm/music/Deuter/_/Morning+Light+Silhouettes+1,"28 Mar 2024, 22:32"
612d6fac-22d0-46de-972c-072447169cda,Christophe Vautier,,,Classical Study Music,"Schwanengesang, S. 560: No. 7 in D Minor, Ständchen","https://www.last.fm/music/Christophe+Vautier/_/Schwanengesang,+S.+560:+No.+7+in+D+Minor,+St%C3%A4ndchen","28 Mar 2024, 22:25"
,Jordi Wood,,,The Wheel of Time - An Ayahuasca Journey,Transcending the Wheel of Time,https://www.last.fm/music/Jordi+Wood/_/Transcending+the+Wheel+of+Time,"28 Mar 2024, 22:16"
,Baby Lullaby,,,100 Classics for Relaxation,Metamorphosis: Metamorphosis Four,https://www.last.fm/music/Baby+Lullaby/_/Metamorphosis:+Metamorphosis+Four,"28 Mar 2024, 22:09"
dec569cf-b210-4a2c-9888-2fcc6cbbbea3,Hilary Stagg,76ee773c-5b46-3c2d-ae85-36e5612dcf34,dc23574e-1f8d-43c9-8ef2-e62cba69f8de,Sweet Return,New Terrain,https://www.last.fm/music/Hilary+Stagg/_/New+Terrain,"28 Mar 2024, 22:01"
,Henrik Gunde,,,Moods,Blame It on My Youth,https://www.last.fm/music/Henrik+Gunde/_/Blame+It+on+My+Youth,"28 Mar 2024, 21:53"
d8451fb8-74d0-4509-a242-6f683641234b,The City of Prague Philharmonic Orchestra,,,Epics - the History of the World According to Hollywood,"The Mission / Gabriel's Oboe / On Earth as It Is in Heaven (From ""The Mission"")",https://www.last.fm/music/The+City+of+Prague+Philharmonic+Orchestra/_/The+Mission+%2F+Gabriel%27s+Oboe+%2F+On+Earth+as+It+Is+in+Heaven+(From+%22The+Mission%22),"28 Mar 2024, 21:45"
