artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
e4549ab4-48e1-4e0d-8c36-cb077f680b67,Brothers of Metal,06940dfe-fdae-4947-b632-64a8b560c5da,648f4d54-824a-46c1-a706-9bb8f39b6359,Prophecy of Ragnarök,Yggdrasil,https://www.last.fm/music/Brothers+of+Metal/_/Yggdrasil,"09 Jan 2024, 19:27"
,Draconian,618640da-395a-41a0-92c2-4478d627d0cf,489e1f02-fcb6-431b-8953-ca6f4b385f6d,Under a Godless Veil,Claw Marks on the Throne,https://www.last.fm/music/Draconian/_/Claw+Marks+on+the+Throne,"09 Jan 2024, 19:21"
c89ea689-c053-4d97-bada-8b81a6236f58,Chromatics,a17a619a-8239-40fb-bfcc-6e8688eb4f2a,2286ced4-fd7d-4e96-8bab-39bab50a1851,Kill for Love,Into the Black,https://www.last.fm/music/Chromatics/_/Into+the+Black,"09 Jan 2024, 19:16"
56d8d7aa-e80e-4674-a8d2-433da1259883,Messa,579f4e89-bb59-4a95-85a2-0841d121c01d,74f95671-5eec-4d92-a33e-155dc953993b,Belfry,Hour of the Wolf,https://www.last.fm/music/Messa/_/Hour+of+the+Wolf,"09 Jan 2024, 19:09"
a1fe77b8-8ce0-49d5-b64c-ba42f116d4b8,Grima,,,Frostbitten,Winter Morning Tower,https://www.last.fm/music/Grima/_/Winter+Morning+Tower,"09 Jan 2024, 18:59"
b2d122f9-eadb-4930-a196-8f221eeb0c66,Rammstein,06945e80-25ad-4aa8-b9da-8d9adb7b42be,1e0b1828-a697-48ad-b34f-51508bb02e66,RAMMSTEIN,DEUTSCHLAND,https://www.last.fm/music/Rammstein/_/DEUTSCHLAND,"09 Jan 2024, 18:53"
6e0dfdf5-6cca-4458-8079-89a761287fff,Mud Flow,d23aa54d-dcc0-40ad-a44f-6d3c5b93e419,683479d1-02a0-4ad3-92e9-4d41deb87d4b,Best Songs,The Sense Of Me / Chemicals,https://www.last.fm/music/Mud+Flow/_/The+Sense+Of+Me+%2F+Chemicals,"09 Jan 2024, 18:45"
b1453649-6ff6-44bf-a71c-9e6062298c7e,Saturnus,17078286-cf7f-45c3-9796-bcd86ed1bad3,0c59bf53-49ca-3920-a021-779dd2ce1c71,Veronika Decides to Die,All Alone,https://www.last.fm/music/Saturnus/_/All+Alone,"09 Jan 2024, 18:38"
b7a57ca8-0ebc-4c4a-bc2f-eb6aa47f1039,Dopelord,0fd78d1b-457b-4d0b-8dda-7da97b0824b6,5c60d504-aeeb-4571-b402-d94821c5108b,Children Of The Haze,Dead Inside (I&II),https://www.last.fm/music/Dopelord/_/Dead+Inside+(I&II),"09 Jan 2024, 18:29"
765774a0-2060-469b-8b7d-612eea48579b,Helloween,37be9bbd-3a25-44dd-8456-503ca0c8cd46,0fa2adea-591a-4234-9463-c01b9ea81ce7,Straight Out of Hell,Hold Me In Your Arms,https://www.last.fm/music/Helloween/_/Hold+Me+In+Your+Arms,"09 Jan 2024, 18:23"
