artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
,Экспедиция ВОСХОД,,,Корни,Корни,https://www.last.fm/music/%D0%AD%D0%BA%D1%81%D0%BF%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D1%8F+%D0%92%D0%9E%D0%A1%D0%A5%D0%9E%D0%94/_/%D0%9A%D0%BE%D1%80%D0%BD%D0%B8,"25 Mar 2024, 18:30"
354feba1-e015-481e-bc62-f838fdfaefe3,АрктидА,,,"Музыка Ветра, Земли И Огня",Море Вечных Штормов,https://www.last.fm/music/%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%B4%D0%90/_/%D0%9C%D0%BE%D1%80%D0%B5+%D0%92%D0%B5%D1%87%D0%BD%D1%8B%D1%85+%D0%A8%D1%82%D0%BE%D1%80%D0%BC%D0%BE%D0%B2,"25 Mar 2024, 18:26"
,Electric Callboy,,,TEKKNO,Spaceman,https://www.last.fm/music/Electric+Callboy/_/Spaceman,"25 Mar 2024, 18:23"
378d41ba-9982-4fb6-a67f-6c91a30a657e,We Butter the Bread with Butter,ac28c654-16aa-352a-837c-bc7a44a4e612,fe68df00-201f-44cd-acdf-522395a09790,Der Tag an dem die Welt unterging,Alptraumsong,https://www.last.fm/music/We+Butter+the+Bread+with+Butter/_/Alptraumsong,"25 Mar 2024, 18:19"
,Lithium,,,Внеземное притяжение,Красна девица,https://www.last.fm/music/Lithium/_/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%B0+%D0%B4%D0%B5%D0%B2%D0%B8%D1%86%D0%B0,"25 Mar 2024, 18:16"
,The Hatters,,,Где-то там,Где-то там,https://www.last.fm/music/The+Hatters/_/%D0%93%D0%B4%D0%B5-%D1%82%D0%BE+%D1%82%D0%B0%D0%BC,"25 Mar 2024, 18:13"
d0b599dc-df42-46d9-a2aa-821c2a534a24,Calva Louise,,,Over The Threshold,Con Corazon,https://www.last.fm/music/Calva+Louise/_/Con+Corazon,"25 Mar 2024, 18:09"
f3c3803a-3149-467a-a816-c667146f3bed,I Monster,02be30bf-d9c5-318a-9983-ceba6e27c1bf,561ef915-9383-40ec-9baf-f9c55d1ddf72,Neveroddoreven,Heaven,https://www.last.fm/music/I+Monster/_/Heaven,"25 Mar 2024, 18:05"
b2d122f9-eadb-4930-a196-8f221eeb0c66,Rammstein,111899ba-ed95-4f2e-b4bf-1d82f9b20f63,15b602a8-07d0-43f6-a0bd-10cde8b3a0b1,Rosenrot,Ein Lied,https://www.last.fm/music/Rammstein/_/Ein+Lied,"25 Mar 2024, 18:01"
9425da77-e335-4691-94a5-796384f8959c,NKOHA,,,Despair,Eternal,https://www.last.fm/music/NKOHA/_/Eternal,"25 Mar 2024, 17:59"
,Morphine,6d75a3a1-8f6b-4ec0-9f11-8d121d43aa13,1274c06e-6ebf-4a7b-9dde-444645b16c7e,Like Swimming,Empty Box,https://www.last.fm/music/Morphine/_/Empty+Box,"25 Mar 2024, 17:55"
b7539c32-53e7-4908-bda3-81449c367da6,Lana Del Rey,ff0fe3ec-4cc5-4a2b-8cb5-017e850cc5f7,017e0265-782e-4242-b471-1f83bba572d2,Honeymoon,High by the Beach,https://www.last.fm/music/Lana+Del+Rey/_/High+by+the+Beach,"25 Mar 2024, 17:50"
431ed486-4606-485a-b11d-f05feb860257,Imminence,c5367e85-729b-4628-87c8-b98352ef2b98,142f9d28-9ff8-4aa6-bf79-f35b8e74d8b9,Turn the Light On,To The Light,https://www.last.fm/music/Imminence/_/To+The+Light,"25 Mar 2024, 16:49"
0944e98f-0b9f-4574-babc-7badf4cd0f74,Король и шут,525427d4-da50-469e-8030-a44c2a38aad9,,"Будь как дома, Путник...",Лесник,https://www.last.fm/music/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C+%D0%B8+%D1%88%D1%83%D1%82/_/%D0%9B%D0%B5%D1%81%D0%BD%D0%B8%D0%BA,"25 Mar 2024, 16:46"
0944e98f-0b9f-4574-babc-7badf4cd0f74,Король и шут,ca0c986f-b275-4620-bc6c-ba47fa6ba7df,,Акустический Альбом,Кукла колдуна,https://www.last.fm/music/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C+%D0%B8+%D1%88%D1%83%D1%82/_/%D0%9A%D1%83%D0%BA%D0%BB%D0%B0+%D0%BA%D0%BE%D0%BB%D0%B4%D1%83%D0%BD%D0%B0,"25 Mar 2024, 16:42"
431ed486-4606-485a-b11d-f05feb860257,Imminence,ae07a8d9-1964-4e4c-b6fc-3eb33ef4f55c,142f9d28-9ff8-4aa6-bf79-f35b8e74d8b9,Turn the Light On,Erase,https://www.last.fm/music/Imminence/_/Erase,"25 Mar 2024, 16:37"
431ed486-4606-485a-b11d-f05feb860257,Imminence,c5367e85-729b-4628-87c8-b98352ef2b98,142f9d28-9ff8-4aa6-bf79-f35b8e74d8b9,Turn the Light On,To The Light,https://www.last.fm/music/Imminence/_/To+The+Light,"25 Mar 2024, 16:33"
431ed486-4606-485a-b11d-f05feb860257,Imminence,6769f45d-a3dc-4824-9a66-6fcf269d8e29,f1da8721-a0bf-4d06-b2e4-2d25210b570d,Continuum,Continuum,https://www.last.fm/music/Imminence/_/Continuum,"25 Mar 2024, 16:29"
