artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
3b570115-3eec-4a29-9abc-f210a498aa1b,Mirabai Ceiba,08bb8fef-f10a-4a1c-9a70-0a294f0cea89,88a4bb29-84ba-45a8-939e-a72648e01c39,SEVATI,Song Of The Stars,https://www.last.fm/music/Mirabai+Ceiba/_/Song+Of+The+Stars,"24 Jun 2023, 03:14"
7e915503-cc34-43fa-a6d7-986ff909d5e9,Kathleen Edwards,07f4d62a-2172-4907-b82a-3f818b182078,52a9ee51-5bd0-4b95-a9c5-56d11e0b0490,Asking For Flowers,"Goodnight, California","https://www.last.fm/music/Kathleen+Edwards/_/Goodnight,+California","24 Jun 2023, 03:08"
73ed4066-c55b-496c-bb1a-1238937a2361,Charlie Cunningham,1752b4dd-eaeb-4017-81e4-9f61429795aa,d0db435e-aea8-4f6e-9e3e-799a183cb7cf,Permanent Way,Force of Habit,https://www.last.fm/music/Charlie+Cunningham/_/Force+of+Habit,"24 Jun 2023, 03:03"
c200ba60-2932-4f01-8c40-c9c332d7fe2c,hoogway,f6a8ff95-c38f-4e3f-bd95-10e0b9172e02,fb33ad93-3b10-436d-aeb4-521dc0457970,Forever Ago,Sail Away,https://www.last.fm/music/hoogway/_/Sail+Away,"24 Jun 2023, 03:00"
191df02c-dd85-4197-9f50-4b3ef1486f4e,Pascal Rogé,,,re:works - EP,Satie: Gnossienne No.1,https://www.last.fm/music/Pascal+Rog%C3%A9/_/Satie:+Gnossienne+No.1,"24 Jun 2023, 02:55"
60e0ba6c-b67e-44c0-b777-be65d42ef909,Tamino,02d7110f-45f7-42a7-a4b3-50ae34373058,386bc05f-373a-47cc-b10f-54a9b9ea65f8,Amir,Habibi,https://www.last.fm/music/Tamino/_/Habibi,"24 Jun 2023, 02:50"
553462b6-fbb5-4bee-8536-d524ae3b5d13,Ofdrykkja,a69a7107-b738-4525-bc22-e171e1a8b066,751d0666-0c9c-4fb5-92f0-07991f8f3e2f,Gryningsvisor,Herr Mannelig,https://www.last.fm/music/Ofdrykkja/_/Herr+Mannelig,"24 Jun 2023, 02:43"
,Rafferty,,,Mausoleum,Mausoleum,https://www.last.fm/music/Rafferty/_/Mausoleum,"24 Jun 2023, 02:37"
51c76d97-0635-433c-b26d-66beb81657f8,Lord Huron,159cb753-dbcd-48a3-b3f2-91655bb5efe2,2f6caa89-9872-40be-a6e1-6e983212b8d1,Long Lost,Long Lost,https://www.last.fm/music/Lord+Huron/_/Long+Lost,"24 Jun 2023, 02:32"
7c67fb96-7e24-4893-a020-fcc53a1f7814,Kalandra,,,Helvegen,Helvegen,https://www.last.fm/music/Kalandra/_/Helvegen,"24 Jun 2023, 02:26"
af1ee348-8bf1-4408-b05b-47031b01d85e,Matt Elliott,93f7bc9d-c72e-4f10-a6d8-42a1e9be4026,ec62b738-2310-459f-97a2-17ec05276187,Farewell to All We Know,The Day After That,https://www.last.fm/music/Matt+Elliott/_/The+Day+After+That,"24 Jun 2023, 02:21"
,Universum Musica,,,Space & Light,Space Breeze,https://www.last.fm/music/Universum+Musica/_/Space+Breeze,"24 Jun 2023, 02:14"
,Mini Pops Junior,,,The Lost Weekend,Fade to green,https://www.last.fm/music/Mini+Pops+Junior/_/Fade+to+green,"24 Jun 2023, 02:07"
d22c5913-b711-400e-ac75-8ec79c00bd0e,Champs,8c8cfca6-2291-42e9-b5ad-b8ac4c84924d,f9dffbb0-6ed7-4178-a092-dc208ef7a8dd,The Hard Interchange,Red Star,https://www.last.fm/music/Champs/_/Red+Star,"24 Jun 2023, 02:04"
4b067dd6-1d92-4c65-8d62-7705e63274a8,Kontinuum,6bb3a27f-ec81-42b3-bac6-1dfc26423d70,5b1baa3e-390a-4ae6-a5df-a97ab6e8939a,No Need to Reason,Two Moons,https://www.last.fm/music/Kontinuum/_/Two+Moons,"24 Jun 2023, 01:58"
,Vincent Peirani & Emile Parisien,,,Belle Époque,Hysm,https://www.last.fm/music/Vincent+Peirani+&+Emile+Parisien/_/Hysm,"24 Jun 2023, 01:51"
1d6b9fad-256d-4081-85f4-539abf1dfa76,Chris Jones,1bb30a1b-303c-46a1-884a-4af7fbff749d,367bc1f4-1fa4-45ee-828d-5e6de5dba344,Smoke and Noise,Long After You're Gone,https://www.last.fm/music/Chris+Jones/_/Long+After+You%27re+Gone,"24 Jun 2023, 01:44"
153128a0-22bc-4c92-bdf0-087b8287c7f0,SiJ,8882ea92-77cf-4636-bd5e-4c4cc32b2be4,69741090-a53d-4719-9140-ff39ba899f1d,Plæntágose,Lümæriscit,https://www.last.fm/music/SiJ/_/L%C3%BCm%C3%A6riscit,"24 Jun 2023, 01:37"
