artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
21a734ac-cada-4953-817b-0e68d1b3c386,Карабас,,,При делах..,Ношеное,https://www.last.fm/music/%D0%9A%D0%B0%D1%80%D0%B0%D0%B1%D0%B0%D1%81/_/%D0%9D%D0%BE%D1%88%D0%B5%D0%BD%D0%BE%D0%B5,"09 Oct 2023, 16:21"
11e979a6-e7d3-4c8a-b607-521ea5163f25,Михаил Елизаров,a4fc9aa8-da5e-4ad6-ade0-5ccfd812b93f,a61cacc4-27af-41b8-b23f-f325ae9e2187,Мы вышли покурить на 17 лет,Офисная,https://www.last.fm/music/%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB+%D0%95%D0%BB%D0%B8%D0%B7%D0%B0%D1%80%D0%BE%D0%B2/_/%D0%9E%D1%84%D0%B8%D1%81%D0%BD%D0%B0%D1%8F,"09 Oct 2023, 16:18"
,Б.А.У.,,,Венский конвертик,Венский конвертик,https://www.last.fm/music/%D0%91.%D0%90.%D0%A3./_/%D0%92%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D0%BA%D0%BE%D0%BD%D0%B2%D0%B5%D1%80%D1%82%D0%B8%D0%BA,"09 Oct 2023, 16:11"
,Карабас и НЕСУРАЗНОСТИ,,,Изобретатели,Изобретатель,https://www.last.fm/music/%D0%9A%D0%B0%D1%80%D0%B0%D0%B1%D0%B0%D1%81+%D0%B8+%D0%9D%D0%95%D0%A1%D0%A3%D0%A0%D0%90%D0%97%D0%9D%D0%9E%D0%A1%D0%A2%D0%98/_/%D0%98%D0%B7%D0%BE%D0%B1%D1%80%D0%B5%D1%82%D0%B0%D1%82%D0%B5%D0%BB%D1%8C,"09 Oct 2023, 16:05"
,Екатерина Яшникова,,,Неприемлемо,Об особенностях воображения мужского населения на оживлённой автостраде,https://www.last.fm/music/%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0+%D0%AF%D1%88%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0/_/%D0%9E%D0%B1+%D0%BE%D1%81%D0%BE%D0%B1%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8F%D1%85+%D0%B2%D0%BE%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B3%D0%BE+%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F+%D0%BD%D0%B0+%D0%BE%D0%B6%D0%B8%D0%B2%D0%BB%D1%91%D0%BD%D0%BD%D0%BE%D0%B9+%D0%B0%D0%B2%D1%82%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%B4%D0%B5,"09 Oct 2023, 16:00"
,Научно-технический рэп,2c2e9e51-29c1-4d63-a810-de2715466034,4b4d518e-90b6-4902-a71c-259b47d28de5,Выйтиизайти 1.666,Два стула,https://www.last.fm/music/%D0%9D%D0%B0%D1%83%D1%87%D0%BD%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D1%8D%D0%BF/_/%D0%94%D0%B2%D0%B0+%D1%81%D1%82%D1%83%D0%BB%D0%B0,"09 Oct 2023, 15:54"
,Научно-технический рэп,2c2e9e51-29c1-4d63-a810-de2715466034,4b4d518e-90b6-4902-a71c-259b47d28de5,Выйтиизайти 1.666,Два стула,https://www.last.fm/music/%D0%9D%D0%B0%D1%83%D1%87%D0%BD%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D1%8D%D0%BF/_/%D0%94%D0%B2%D0%B0+%D1%81%D1%82%D1%83%D0%BB%D0%B0,"09 Oct 2023, 15:53"
,Научно-технический рэп,2c2e9e51-29c1-4d63-a810-de2715466034,4b4d518e-90b6-4902-a71c-259b47d28de5,Выйтиизайти 1.666,Два стула,https://www.last.fm/music/%D0%9D%D0%B0%D1%83%D1%87%D0%BD%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D1%8D%D0%BF/_/%D0%94%D0%B2%D0%B0+%D1%81%D1%82%D1%83%D0%BB%D0%B0,"09 Oct 2023, 14:39"
,Научно-технический рэп,2c2e9e51-29c1-4d63-a810-de2715466034,4b4d518e-90b6-4902-a71c-259b47d28de5,Выйтиизайти 1.666,Два стула,https://www.last.fm/music/%D0%9D%D0%B0%D1%83%D1%87%D0%BD%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D1%8D%D0%BF/_/%D0%94%D0%B2%D0%B0+%D1%81%D1%82%D1%83%D0%BB%D0%B0,"09 Oct 2023, 14:39"
,Карабас и НЕСУРАЗНОСТИ,,,Изобретатели,Изобретатель,https://www.last.fm/music/%D0%9A%D0%B0%D1%80%D0%B0%D0%B1%D0%B0%D1%81+%D0%B8+%D0%9D%D0%95%D0%A1%D0%A3%D0%A0%D0%90%D0%97%D0%9D%D0%9E%D0%A1%D0%A2%D0%98/_/%D0%98%D0%B7%D0%BE%D0%B1%D1%80%D0%B5%D1%82%D0%B0%D1%82%D0%B5%D0%BB%D1%8C,"09 Oct 2023, 14:36"
3a2f6725-8f0f-4f11-aa3e-886ec1547d8f,Медвежонок и бобёр,,,Как-то всё грустненько,Не вывожу,https://www.last.fm/music/%D0%9C%D0%B5%D0%B4%D0%B2%D0%B5%D0%B6%D0%BE%D0%BD%D0%BE%D0%BA+%D0%B8+%D0%B1%D0%BE%D0%B1%D1%91%D1%80/_/%D0%9D%D0%B5+%D0%B2%D1%8B%D0%B2%D0%BE%D0%B6%D1%83,"09 Oct 2023, 14:34"
,plotnik82,,,И лето,И лето,https://www.last.fm/music/plotnik82/_/%D0%98+%D0%BB%D0%B5%D1%82%D0%BE,"09 Oct 2023, 14:30"
,Екатерина Яшникова,,,Неприемлемо,Об особенностях воображения мужского населения на оживлённой автостраде,https://www.last.fm/music/%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0+%D0%AF%D1%88%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0/_/%D0%9E%D0%B1+%D0%BE%D1%81%D0%BE%D0%B1%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8F%D1%85+%D0%B2%D0%BE%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B3%D0%BE+%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F+%D0%BD%D0%B0+%D0%BE%D0%B6%D0%B8%D0%B2%D0%BB%D1%91%D0%BD%D0%BD%D0%BE%D0%B9+%D0%B0%D0%B2%D1%82%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%B4%D0%B5,"09 Oct 2023, 14:26"
1768e417-3deb-47df-907a-1f457562cbd9,Дайте танк (!),,,Человеко-часы. Deluxe Version,Бардак,https://www.last.fm/music/%D0%94%D0%B0%D0%B9%D1%82%D0%B5+%D1%82%D0%B0%D0%BD%D0%BA+(!)/_/%D0%91%D0%B0%D1%80%D0%B4%D0%B0%D0%BA,"09 Oct 2023, 13:56"
f4bfca91-75d6-4b4a-81e2-bd5149fb24ba,Loqiemean,,,Пов3стка,Мёртвые Кролики,https://www.last.fm/music/Loqiemean/_/%D0%9C%D1%91%D1%80%D1%82%D0%B2%D1%8B%D0%B5+%D0%9A%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%D0%B8,"09 Oct 2023, 13:47"
5555424f-4579-4575-b420-39e7004757ba,Markul,fe504620-b989-4454-b10a-2fee949529bd,1c1cf1b4-1a52-42bd-9f2c-a9b7a0bd66b6,Sense Of Human,Карусель,https://www.last.fm/music/Markul/_/%D0%9A%D0%B0%D1%80%D1%83%D1%81%D0%B5%D0%BB%D1%8C,"09 Oct 2023, 13:43"
,The Denied,,,Мара,Мара,https://www.last.fm/music/The+Denied/_/%D0%9C%D0%B0%D1%80%D0%B0,"09 Oct 2023, 13:38"
