artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
,Kadri Hunt,,,Filia Sion,Ecce venit / Psalm 94,https://www.last.fm/music/Kadri+Hunt/_/Ecce+venit+%2F+Psalm+94,"12 Jun 2023, 23:55"
63aa26c3-d59b-4da4-84ac-716b54f1ef4d,Tame Impala,d9143ba4-6718-4b65-a474-dd279b2691be,850ea168-6719-4c1e-9eb6-b8753db75e23,Borderline,Borderline,https://www.last.fm/music/Tame+Impala/_/Borderline,"12 Jun 2023, 23:48"
229cc68b-2a26-4d4c-8963-b70af1e63377,Чёрный Кофе,4af4fe0f-1e93-492c-83f2-2c72fff9fd56,22c88194-3936-4637-aad8-3d0bbe571737,Переступи Порог,Пылает за окном звезда,https://www.last.fm/music/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9+%D0%9A%D0%BE%D1%84%D0%B5/_/%D0%9F%D1%8B%D0%BB%D0%B0%D0%B5%D1%82+%D0%B7%D0%B0+%D0%BE%D0%BA%D0%BD%D0%BE%D0%BC+%D0%B7%D0%B2%D0%B5%D0%B7%D0%B4%D0%B0,"12 Jun 2023, 23:44"
5ae54dee-4dba-49c0-802a-a3b3b3adfe9b,Philip Glass,04acc515-aba8-4622-8a87-83940b47ca33,,«Кояанискатси»,Prophecies,https://www.last.fm/music/Philip+Glass/_/Prophecies,"12 Jun 2023, 23:37"
,Musica di Strada,,,Чёрный свет,Тело,https://www.last.fm/music/Musica+di+Strada/_/%D0%A2%D0%B5%D0%BB%D0%BE,"12 Jun 2023, 23:32"
,Geek Music,d686656a-ef6d-434d-a01b-92b4ea2ad696,db023d96-d272-42d3-b922-706be758be18,Red Dead Redemption 2 - EP Compilation,Red Dead Redemption 2 - That's The Way It Is,https://www.last.fm/music/Geek+Music/_/Red+Dead+Redemption+2+-+That%27s+The+Way+It+Is,"12 Jun 2023, 23:28"
,Camel,00a817d4-681a-4319-ab79-9e4fd094a0d8,39824aad-26b8-3c20-b84f-e92949121c91,Moonmadness,Air Born,https://www.last.fm/music/Camel/_/Air+Born,"12 Jun 2023, 23:23"
e4d05411-9a3d-452e-8b0e-a55b86b7cf85,IAMX,f5b49448-6435-4000-8edb-cf1023701f13,16bdd057-b7ff-4b70-8087-3f0a193c043a,Echo Echo,I Come with Knives,https://www.last.fm/music/IAMX/_/I+Come+with+Knives,"12 Jun 2023, 23:16"
,Hiromitsu Agatsuma,,,Beyond,Tears...,https://www.last.fm/music/Hiromitsu+Agatsuma/_/Tears...,"12 Jun 2023, 23:09"
3b7865df-3c91-48dd-9126-a71e0dfe7f8d,Julee Cruise,ab6ca907-b32b-4f48-ae94-840767e33e4b,653617f7-c764-4f52-a4ba-e6a130a6c87d,Floating Into the Night,Rockin' Back Inside My Heart,https://www.last.fm/music/Julee+Cruise/_/Rockin%27+Back+Inside+My+Heart,"12 Jun 2023, 23:03"
e1f83b22-d40e-400a-8ebb-4e59b5b53d31,Jim White,0e79fb51-94d9-4626-bb8d-c150f3e6c9bb,06071652-60dd-4a61-b026-90874bb246ad,Drill a Hole In That Substrate and Tell Me What You See,Static On The Radio,https://www.last.fm/music/Jim+White/_/Static+On+The+Radio,"12 Jun 2023, 22:57"
83d91898-7763-47d7-b03b-b92132375c47,Pink Floyd,d1ac1905-001b-4591-92a4-df8391d933a9,,The Early Years 1967-72 Cre/ation,Embryo,https://www.last.fm/music/Pink+Floyd/_/Embryo,"12 Jun 2023, 22:52"
e4db2dca-7f9b-452d-a20a-fc20d69ed998,The Aristocrats,895cc759-b07c-33c0-be0e-45a8892c32ca,4adc7049-c1a6-41bb-99b1-eafc33cac370,The Aristocrats,Flatlands,https://www.last.fm/music/The+Aristocrats/_/Flatlands,"12 Jun 2023, 22:45"
411512e7-c0f6-4857-9920-77cccb4cd0df,Мегаполис,168b472a-438a-47d3-bea8-bb384eb8dfef,2fb679b3-0bba-4231-9307-5ee3f93e3b3f,Из жизни планет,Другой,https://www.last.fm/music/%D0%9C%D0%B5%D0%B3%D0%B0%D0%BF%D0%BE%D0%BB%D0%B8%D1%81/_/%D0%94%D1%80%D1%83%D0%B3%D0%BE%D0%B9,"12 Jun 2023, 22:38"
,Mantus,ef9f33bd-b90b-3f12-b515-583f20a9327f,37b2adeb-5ef0-49a7-bfb6-b3cd127b98ad,Weg ins Paradies,Insel,https://www.last.fm/music/Mantus/_/Insel,"12 Jun 2023, 22:32"
39330f42-0662-4adb-a88f-7556e9445ca2,Rebekah Del Rio,1d66e5f6-5f4e-4c4e-bd7f-41f58b03c4e7,,No Stars,No Stars,https://www.last.fm/music/Rebekah+Del+Rio/_/No+Stars,"12 Jun 2023, 22:25"
,Павел Пиковский,,,Семь кругов,Радость моя,https://www.last.fm/music/%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB+%D0%9F%D0%B8%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9/_/%D0%A0%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C+%D0%BC%D0%BE%D1%8F,"12 Jun 2023, 22:21"
1bb37eed-80ab-4c04-b04e-1e1fb0fe0bb5,Mike Dawes,a1e55a46-46d9-46a0-b34c-ff104546e547,0d9f71df-72ec-4226-9834-0731450c5327,Era,One,https://www.last.fm/music/Mike+Dawes/_/One,"12 Jun 2023, 22:15"
,Игорь Бутман,,,Magic Land,Колыбельная медведицы,https://www.last.fm/music/%D0%98%D0%B3%D0%BE%D1%80%D1%8C+%D0%91%D1%83%D1%82%D0%BC%D0%B0%D0%BD/_/%D0%9A%D0%BE%D0%BB%D1%8B%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BC%D0%B5%D0%B4%D0%B2%D0%B5%D0%B4%D0%B8%D1%86%D1%8B,"12 Jun 2023, 22:07"
,Sergey Yakovenko,,,Silvestrov: Silent Songs,"Silvestrov: Silent Songs / 2. Eleven Songs - Something Tender, Blue, Unspoken","https://www.last.fm/music/Sergey+Yakovenko/_/Silvestrov:+Silent+Songs+%2F+2.+Eleven+Songs+-+Something+Tender,+Blue,+Unspoken","12 Jun 2023, 22:01"
eb9c78a5-d7f0-49c1-b887-1aa983ddb84a,Jon Gomm,19637bbd-f421-4210-a4f3-5e988105003d,,Passionflower,Passionflower,https://www.last.fm/music/Jon+Gomm/_/Passionflower,"12 Jun 2023, 21:54"
917e2110-0542-45f5-a20f-682462647816,Пилот,9c2416a7-ab2b-41fd-9dcd-7da06e1c48ea,913d5e21-7074-45c0-96e0-b15207fe7ca4,Кукушка,Кукушка,https://www.last.fm/music/%D0%9F%D0%B8%D0%BB%D0%BE%D1%82/_/%D0%9A%D1%83%D0%BA%D1%83%D1%88%D0%BA%D0%B0,"12 Jun 2023, 21:48"
0474f2a4-05a5-4d77-a13e-854873eefa9f,Bebopovsky And The Orkestry Podyezdov,,,Russian Criminal Jazz,Russian Criminal Jazz,https://www.last.fm/music/Bebopovsky+And+The+Orkestry+Podyezdov/_/Russian+Criminal+Jazz,"12 Jun 2023, 21:43"
ac2d1c91-3667-46aa-9fe7-170ca7fce9e2,Godsmack,04a751ba-e4a6-3814-b424-4a16ac5ef5cb,8be768e8-b2ce-4e67-85dd-254632deef2c,Live & Inspired,Nothing Else Matters,https://www.last.fm/music/Godsmack/_/Nothing+Else+Matters,"12 Jun 2023, 21:36"
51e9de9b-41aa-4229-9955-46ce6c8f88e6,Colonel Bagshot,6ee61bdd-3581-413a-87e8-70518f1ada45,,Colonel Bagshot,Six Day War,https://www.last.fm/music/Colonel+Bagshot/_/Six+Day+War,"12 Jun 2023, 21:31"
7b4b40dc-b291-4bc2-8b94-a0fb5974b60e,Фруктовый Кефир,,,Тишина,"И день, и ночь","https://www.last.fm/music/%D0%A4%D1%80%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%9A%D0%B5%D1%84%D0%B8%D1%80/_/%D0%98+%D0%B4%D0%B5%D0%BD%D1%8C,+%D0%B8+%D0%BD%D0%BE%D1%87%D1%8C","12 Jun 2023, 21:27"
,Marina,c81c437d-4b60-436e-a443-27bb1a0740e8,08c640a7-7870-4264-b04a-c260854d04bf,FROOT,Immortal,https://www.last.fm/music/Marina/_/Immortal,"12 Jun 2023, 21:22"
ccb8f30e-4d71-40c4-8b1d-846dafe73e2c,George Michael,,,Tony Fenton's 50 Favourite No. 1s,Careless Whisper,https://www.last.fm/music/George+Michael/_/Careless+Whisper,"12 Jun 2023, 21:16"
92de643f-fa8f-4e68-b627-4376711b7b33,Low,029307f0-a639-4364-bb33-8601ef0dca13,2592a0a0-f1d6-4b31-923f-56ec9baa6f68,I Could Live in Hope,Lullaby,https://www.last.fm/music/Low/_/Lullaby,"12 Jun 2023, 21:07"
3780151c-8a94-4fd3-96d4-a9bcea866444,Karen Elson,f5fb40b2-a1d3-45a8-82eb-ac2a753bc134,,"Radio Redhead, Vol. 1",Lay All Your Love on Me,https://www.last.fm/music/Karen+Elson/_/Lay+All+Your+Love+on+Me,"12 Jun 2023, 21:02"
,Алла Пугачёва,,085cfed6-43dd-47fe-84c9-ee701a54efcc,Зеркало души,Приезжай хоть на денёк,https://www.last.fm/music/%D0%90%D0%BB%D0%BB%D0%B0+%D0%9F%D1%83%D0%B3%D0%B0%D1%87%D1%91%D0%B2%D0%B0/_/%D0%9F%D1%80%D0%B8%D0%B5%D0%B7%D0%B6%D0%B0%D0%B9+%D1%85%D0%BE%D1%82%D1%8C+%D0%BD%D0%B0+%D0%B4%D0%B5%D0%BD%D1%91%D0%BA,"12 Jun 2023, 20:57"
056e4f3e-d505-4dad-8ec1-d04f521cbb56,Daft Punk,0334b281-76cb-4451-a4ea-8608fc09e20a,098060d4-ba3c-469d-88b0-08642261c7ab,Discovery,Veridis Quo,https://www.last.fm/music/Daft+Punk/_/Veridis+Quo,"12 Jun 2023, 20:51"
aad6dbfc-3664-487a-8e58-5d4725f9c19b,Кукрыниксы,6dca279b-994b-3421-83fe-c65c308ee230,b5cdf959-acd0-48b9-b571-911e2bb660e8,Столкновение,Последнее письмо,https://www.last.fm/music/%D0%9A%D1%83%D0%BA%D1%80%D1%8B%D0%BD%D0%B8%D0%BA%D1%81%D1%8B/_/%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BD%D0%B5%D0%B5+%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE,"12 Jun 2023, 20:47"
eccbbaac-b8cf-4023-b633-6a9343991b00,Werner Jacob,,,Pachelbel - Organ Works,Ciacona in F minor,https://www.last.fm/music/Werner+Jacob/_/Ciacona+in+F+minor,"12 Jun 2023, 20:39"
ee6ddacb-29a9-4e9b-9f39-98610f8a414a,Сансара,1fcc797b-cd95-41de-b0bd-70cca0c059da,,Без меня. Трибьют Егора Летова,Отряд не заметил потери бойца,https://www.last.fm/music/%D0%A1%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%B0/_/%D0%9E%D1%82%D1%80%D1%8F%D0%B4+%D0%BD%D0%B5+%D0%B7%D0%B0%D0%BC%D0%B5%D1%82%D0%B8%D0%BB+%D0%BF%D0%BE%D1%82%D0%B5%D1%80%D0%B8+%D0%B1%D0%BE%D0%B9%D1%86%D0%B0,"12 Jun 2023, 20:35"
,Квадрифойл,,,Тёмная душа. Эпизод I,По дороге на базу,https://www.last.fm/music/%D0%9A%D0%B2%D0%B0%D0%B4%D1%80%D0%B8%D1%84%D0%BE%D0%B9%D0%BB/_/%D0%9F%D0%BE+%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B5+%D0%BD%D0%B0+%D0%B1%D0%B0%D0%B7%D1%83,"12 Jun 2023, 20:26"
5182c1d9-c7d2-4dad-afa0-ccfeada921a8,Black Sabbath,06fc4fe8-c1c6-4313-bf52-305da7a57279,001e9d0e-2c1d-4764-8d33-463bd0870a71,13,Zeitgeist,https://www.last.fm/music/Black+Sabbath/_/Zeitgeist,"12 Jun 2023, 20:21"
b892f72d-05e2-4ff7-b863-3d5dec6331fd,Van der Graaf Generator,048276ce-1db9-478a-95ba-07c493b63b30,,H To He Who Am The Only One,House With No Door,https://www.last.fm/music/Van+der+Graaf+Generator/_/House+With+No+Door,"12 Jun 2023, 20:15"
c14b4180-dc87-481e-b17a-64e4150f90f6,Opeth,08cc006a-495a-3aa8-a334-304141e0ba37,049d8226-b20b-3c5a-b4bf-6dd7e951e07c,Ghost Reveries,Hours of Wealth,https://www.last.fm/music/Opeth/_/Hours+of+Wealth,"12 Jun 2023, 20:09"
,Architects,52c86f67-6f07-4873-88f4-ecb00b21558f,c2ba6827-350c-4856-9645-1c9c6a3a1a55,Doomsday,Doomsday,https://www.last.fm/music/Architects/_/Doomsday,"12 Jun 2023, 20:05"
553462b6-fbb5-4bee-8536-d524ae3b5d13,Ofdrykkja,d6b7e98b-38f0-4834-9d3a-16137b67be4a,751d0666-0c9c-4fb5-92f0-07991f8f3e2f,Gryningsvisor,Swallowed by the night,https://www.last.fm/music/Ofdrykkja/_/Swallowed+by+the+night,"12 Jun 2023, 19:58"
83d91898-7763-47d7-b03b-b92132375c47,Pink Floyd,c80b6aba-11af-3135-93a7-c7083d11b7b5,2a49d08f-5dfc-4ba6-8b40-537e3aa778bd,Echoes - The Best Of Pink Floyd,Us and Them,https://www.last.fm/music/Pink+Floyd/_/Us+and+Them,"12 Jun 2023, 19:50"
,Павел Пиковский,,,Семь кругов,Каждую ночь,https://www.last.fm/music/%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB+%D0%9F%D0%B8%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9/_/%D0%9A%D0%B0%D0%B6%D0%B4%D1%83%D1%8E+%D0%BD%D0%BE%D1%87%D1%8C,"12 Jun 2023, 19:45"
