artist_mbid,artist_name,mbid,album_mbid,album_name,song_name,song_url,dt_listen
,BlackFir3,,,Need Some Sleep,Need Some Sleep,https://www.last.fm/music/BlackFir3/_/Need+Some+Sleep,"30 Mar 2023, 17:03"
,Relaxing Piano Crew,,,Anime Nostalgia - Relaxing Piano Covers for Sleeping,Moonlight Densetsu (Sailor Moon Theme),https://www.last.fm/music/Relaxing+Piano+Crew/_/Moonlight+Densetsu+(Sailor+Moon+Theme),"30 Mar 2023, 16:19"
b1a574ac-a75c-4b8a-ac92-babda88bb5a1,ПНЕВМОСЛОН,d6c9bfbb-dcb0-4060-ba9d-88261e75a9a7,e5036efd-a8a4-40fa-9931-878475170903,Бабушка,Бабушка,https://www.last.fm/music/%D0%9F%D0%9D%D0%95%D0%92%D0%9C%D0%9E%D0%A1%D0%9B%D0%9E%D0%9D/_/%D0%91%D0%B0%D0%B1%D1%83%D1%88%D0%BA%D0%B0,"30 Mar 2023, 16:15"
72b357ac-defe-4d96-9455-a8a07ff87dcb,Wildways,,,Коллампи,Коллампи,https://www.last.fm/music/Wildways/_/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B0%D0%BC%D0%BF%D0%B8,"30 Mar 2023, 16:11"
,Wilow,,,Седая ночь,Седая ночь,https://www.last.fm/music/Wilow/_/%D0%A1%D0%B5%D0%B4%D0%B0%D1%8F+%D0%BD%D0%BE%D1%87%D1%8C,"30 Mar 2023, 16:06"
,Следы,,,Февраль,Февраль,https://www.last.fm/music/%D0%A1%D0%BB%D0%B5%D0%B4%D1%8B/_/%D0%A4%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C,"30 Mar 2023, 16:02"
,Теппо,,,ПОСЛЕДНИЙ РАССВЕТ,ПОСЛЕДНИЙ РАССВЕТ,https://www.last.fm/music/%D0%A2%D0%B5%D0%BF%D0%BF%D0%BE/_/%D0%9F%D0%9E%D0%A1%D0%9B%D0%95%D0%94%D0%9D%D0%98%D0%99+%D0%A0%D0%90%D0%A1%D0%A1%D0%92%D0%95%D0%A2,"30 Mar 2023, 15:59"
fb759bfb-34ec-4f1d-91f9-fd46549bc3cd,The Browning,37cf986d-fb28-43f6-a141-d493d58166ff,3c2ef12c-e96e-4971-be6b-da941f309057,End Of Existence,Fearless,https://www.last.fm/music/The+Browning/_/Fearless,"30 Mar 2023, 15:55"
bce513ea-2f39-45c3-ac29-61c5651c06a5,The Weight of Atlas,6244aea0-3a68-41d7-8590-e9044dc7e949,,Coma,All The Things She Said,https://www.last.fm/music/The+Weight+of+Atlas/_/All+The+Things+She+Said,"30 Mar 2023, 15:51"
,23,2545d84e-631f-4aa0-b8aa-9bea1934dc0f,,Радио тишины,В Никуда,https://www.last.fm/music/23/_/%D0%92+%D0%9D%D0%B8%D0%BA%D1%83%D0%B4%D0%B0,"30 Mar 2023, 15:46"
,Теппо,,,V,V,https://www.last.fm/music/%D0%A2%D0%B5%D0%BF%D0%BF%D0%BE/_/V,"30 Mar 2023, 15:43"
b7e442b4-30cd-4bd2-9238-032e74f7807d,Currents,e598ccbe-ab9a-4a91-8728-250df78a2d3a,840924c6-d487-4ce5-bac5-daae4499fd73,So Alone,Remember Me,https://www.last.fm/music/Currents/_/Remember+Me,"30 Mar 2023, 15:39"
fb759bfb-34ec-4f1d-91f9-fd46549bc3cd,The Browning,6b473017-cefe-443f-9e53-7105f763af2c,5b4f493c-b5c8-4f11-90bf-ca7a7b4773a9,Isolation,Vortex,https://www.last.fm/music/The+Browning/_/Vortex,"30 Mar 2023, 14:40"
d8f0f6ac-a0a7-47bd-9786-f9106d7bdd11,Ice Nine Kills,84c1c24d-7d3a-475f-b8f0-fd98492f10dd,1abc25fb-077c-4d7a-af5a-16d6e6cdade3,The Silver Scream,A Grave Mistake,https://www.last.fm/music/Ice+Nine+Kills/_/A+Grave+Mistake,"30 Mar 2023, 14:12"
af3fd27c-c59f-4eb7-9303-042ee3eef006,Invent Animate,,,Greyview,Cloud Cascade,https://www.last.fm/music/Invent+Animate/_/Cloud+Cascade,"30 Mar 2023, 14:06"
06efc032-646d-4192-b537-11cb24f921fc,Nina,7efd0e87-7ca2-4f2c-a246-3c68085e3389,6f40e826-285c-4da0-81d9-fdf092c478cd,Beyond Memory,Beyond Memory,https://www.last.fm/music/Nina/_/Beyond+Memory,"30 Mar 2023, 14:03"
,Allt,,b2cbfa4e-9aa8-43f0-93cb-ef9b730bceac,The Seed of Self-Destruction,Deep Blue Silent,https://www.last.fm/music/Allt/_/Deep+Blue+Silent,"30 Mar 2023, 14:00"
,Josh A,0d9cc29b-4526-4228-9c26-c2aac3cb8573,,Lonely Vibes,DOUBT ME,https://www.last.fm/music/Josh+A/_/DOUBT+ME,"30 Mar 2023, 13:57"
4d4760b1-f4de-4792-b63d-895e3f8163ad,Siamese,,,Home,Heights Above,https://www.last.fm/music/Siamese/_/Heights+Above,"30 Mar 2023, 13:53"
0eacce65-e01a-4cf8-b35f-6249e340c93b,улица восток,,,Город у моря,Город у моря,https://www.last.fm/music/%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA/_/%D0%93%D0%BE%D1%80%D0%BE%D0%B4+%D1%83+%D0%BC%D0%BE%D1%80%D1%8F,"30 Mar 2023, 13:51"
,BANEV!,,,Банев,Высоцким,https://www.last.fm/music/BANEV!/_/%D0%92%D1%8B%D1%81%D0%BE%D1%86%D0%BA%D0%B8%D0%BC,"30 Mar 2023, 13:48"
6a310a97-aff0-47ce-a581-edac22897d2d,Unlike Pluto,3962d709-a28c-4c69-85b4-95d4f829d5b9,44162ca0-d538-42dd-bb16-eed8a47370f1,"Loud Fantasy, Quiet Reality",We're Screwed,https://www.last.fm/music/Unlike+Pluto/_/We%27re+Screwed,"30 Mar 2023, 13:43"
219f481f-525d-4be7-b57b-c9374d4e09c3,Заточка,6d7939b3-7a08-405a-836c-82b2f56cb6c8,6267d513-0345-467b-b1ce-b528e4e2eedb,Как в американском фильме,Человечек,https://www.last.fm/music/%D0%97%D0%B0%D1%82%D0%BE%D1%87%D0%BA%D0%B0/_/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D1%87%D0%B5%D0%BA,"30 Mar 2023, 03:33"
8f2beaaf-538e-49a8-96c2-fb3c5524c351,КняZz,a60c35e5-89db-4aad-8b25-efebd03bfb12,188a7b0c-f35f-4553-b522-384481487a63,Предвестник,Барин и вурдалак,https://www.last.fm/music/%D0%9A%D0%BD%D1%8FZz/_/%D0%91%D0%B0%D1%80%D0%B8%D0%BD+%D0%B8+%D0%B2%D1%83%D1%80%D0%B4%D0%B0%D0%BB%D0%B0%D0%BA,"30 Mar 2023, 03:30"
